id,title,description,price,discounted_price,average_rating,number_of_reviews,stock_status,category_group,dimensions,meta_createdAt,meta_updatedAt
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99,9.273717,3.0,3,Low Stock,Cosmetics,23.17x14.43x28.01,2024-05-23 08:56:21.618000+00:00,2024-05-23 08:56:21.618000+00:00
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,18.890549999999998,3.3,3,In Stock,Cosmetics,12.42x8.63x29.13,2024-05-23 08:56:21.618000+00:00,2024-05-23 08:56:21.618000+00:00
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,12.270814,4.7,3,In Stock,Cosmetics,24.16x10.7x11.07,2024-05-23 08:56:21.618000+00:00,2024-05-23 08:56:21.618000+00:00
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,10.518003,4.7,3,In Stock,Cosmetics,14.37x13.94x14.6,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,8.768846,4.7,3,In Stock,Cosmetics,8.11x10.89x29.06,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,49.830032,3.0,3,In Stock,Other,11.53x14.44x6.81,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,105.75986400000001,3.0,3,In Stock,Other,21.27x28.0x11.89,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,74.295744,4.3,3,In Stock,Other,21.51x7.0x26.51,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,61.962146999999995,3.3,3,Low Stock,Other,17.0x24.57x13.3,2024-05-23 08:56:21.619000+00:00,2024-05-23 08:56:21.619000+00:00
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,72.87089,4.3,3,In Stock,Other,22.28x17.81x27.18,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,1894.480029,4.3,3,In Stock,Other,28.75x26.88x24.47,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,2036.4918539999999,4.3,3,In Stock,Other,20.97x19.11x25.81,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,271.250958,4.3,3,In Stock,Other,25.43x20.2x24.95,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,423.841523,3.3,3,In Stock,Other,16.59x21.46x29.07,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,710.231122,2.7,3,In Stock,Other,7.32x22.64x12.37,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.620000+00:00
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,1.950797,0.0,0,Low Stock,Other,5.58x12.41x2 year warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,10.653099000000001,0.0,0,In Stock,Other,13.48x26.4x1 month warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99,8.129657,0.0,0,In Stock,Other,13.97x25.13x3 months warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99,8.945046,0.0,0,In Stock,Other,29.24x26.25xLifetime warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,4.047389,0.0,0,In Stock,Other,27.45x27.88xLifetime warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,1.3195439999999998,0.0,0,In Stock,Other,20.5x8.18x5 year warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99,8.995315,0.0,0,In Stock,Other,29.77x20.54x1 year warranty,2024-05-23 08:56:21.620000+00:00,2024-05-23 08:56:21.619000+00:00
